show_id,type,title,cast,release_year,duration.int,duration.type,rating
ns346,movie,open season: scared silly,"william townsend, donny lucas, melissa sturm, trevor devall, brian drummond, kathleen barr, garry chalk, lee tockar, shannon chan-kent, michelle murdocca, lorne cardinal, peter kelamis",2015,85.0,min,3.480477223427332
ns347,movie,pineapple express,"seth rogen, james franco, danny mcbride, kevin corrigan, craig robinson, gary cole, rosie perez, ed begley jr., nora dunn, amber heard",2008,112.0,min,3.574642126789366
ns348,movie,planet 51,"justin long, dwayne johnson, gary oldman, seann william scott, jessica biel, john cleese, freddie benedict",2009,91.0,min,3.5442655935613683
ns349,movie,poms,"diane keaton, jacki weaver, pam grier, rhea perlman, celia weston, alisha boe, charlie tahan",2019,91.0,min,3.4925213675213675
ns350,movie,seabiscuit,"tobey maguire, jeff bridges, chris cooper, elizabeth banks, gary stevens, william h. macy, david mccullough, kingston ducoeur, eddie jones, ed lauter, michael o'neill, michael angarano, royce d. applegate, annie corley, valerie mahaffey",2003,141.0,min,3.48068669527897
ns351,movie,space cowboys,"clint eastwood, tommy lee jones, donald sutherland, james garner, james cromwell, marcia gay harden, william devane, loren dean, courtney b. vance, rade serbedzija, barbara babcock, blair brown",2000,130.0,min,3.593201754385965
ns352,movie,team america: world police,"trey parker, matt stone, kristen miller, masasa moyo, daran norris, phil hendrie, maurice lamarche, chelsea magritte, jeremy shada, fred tatasciore",2004,98.0,min,3.5635593220338984
ns353,movie,the edge of seventeen,"hailee steinfeld, woody harrelson, kyra sedgwick, haley lu richardson, blake jenner, hayden szeto, alexander calvert, eric keenleyside",2016,105.0,min,3.5258964143426295
ns354,movie,the haunting in connecticut 2: ghosts of georgia,"abigail spencer, chad michael murray, katee sackhoff, emily alyn lind, cicely tyson, andrea frankle, brad james, lance e. nichols",2013,101.0,min,3.4700214132762315
ns355,movie,the last boy scout,"bruce willis, damon wayans, chelsea field, noble willingham, taylor negron, danielle harris, halle berry, bruce mcgill",1991,105.0,min,3.5780590717299576
ns356,movie,the lincoln lawyer,"matthew mcconaughey, josh lucas, ryan phillippe, john leguizamo, michael peña, bryan cranston, bob gunton, william h. macy, marisa tomei, frances fisher",2011,118.0,min,3.5808189655172415
ns357,movie,the losers,"jeffrey dean morgan, zoe saldana, chris evans, idris elba, columbus short, óscar jaenada, jason patric, holt mccallany, peter macdissi, peter francis james",2010,97.0,min,3.4734848484848486
ns358,movie,the machinist,"christian bale, jennifer jason leigh, aitana sánchez-gijón, john sharian, michael ironside, lawrence gilliard jr., reg e. cathey, anna massey, matthew romero, robert long, colin stinton, craig stevenson",2004,102.0,min,3.511340206185567
ns359,movie,the net,"sandra bullock, jeremy northam, dennis miller, diane baker, wendy gazelle, ken howard, ray mckinnon, daniel schorr, l. scott caldwell, robert gossett",1995,114.0,min,3.5010309278350515
ns360,movie,the original kings of comedy,"steve harvey, d.l. hughley, cedric the entertainer, bernie mac",2000,111.0,min,3.534065934065934
ns361,movie,valentine's day,"jessica alba, kathy bates, jessica biel, bradley cooper, eric dane, patrick dempsey, hector elizondo, jamie foxx, jennifer garner, topher grace, anne hathaway, ashton kutcher, queen latifah, taylor lautner, george lopez, shirley maclaine, emma roberts, julia roberts, taylor swift",2010,125.0,min,3.6129032258064515
ns362,tv show,charmed,"madeleine mantock, sarah jeffery, melonie diaz, rupert evans, ser'darius blain, ellen tamaki, charlie gillespie",2021,3.0,seasons,3.61353711790393
ns363,movie,the lost café,"tunde aladese, omatta udalor, terje lien, ann njemanze, anders lidin hansen, jenny bonden, belinda effah, anita daniels, silje drensgrud, torbjørn jensen",2018,76.0,min,3.4906832298136647
ns364,movie,the vault,"freddie highmore, astrid bergès-frisbey, sam riley, liam cunningham, josé coronado, luis tosar, emilio gutiérrez caba, axel stein, daniel holguín, famke janssen",2021,118.0,min,3.5
ns365,tv show,centaurworld,"kimiko glenn, megan hilty, parvesh cheena, chris diamantopoulos, megan nicole dong, jessie mueller, josh radnor",2021,1.0,seasons,3.478494623655914
ns366,movie,eyes of a thief,"khaled abol el naga, souad massi, suhail haddad, malak ermileh, maisa abd elhadi, walid abdul salam, nisreen faour, areen omari",2014,103.0,min,3.5592592592592593
ns367,tv show,glow up,,2021,3.0,seasons,3.5244755244755246
ns368,movie,i'm glad i did,"metin akpınar, demet akbağ, umur bugay, ahmet gülhan, dikmen gürün, kandemir konduk, perran kutman, zeynep oral, nevra serezli, selma sonat, suat sungur, ferhan şensoy, cihat tamer, demet taner",2020,114.0,min,3.4725050916496945
ns369,tv show,khawatir,,2009,1.0,seasons,3.515810276679842
ns370,tv show,myth & mogul: john delorean,,2021,1.0,seasons,3.512
ns371,tv show,outer banks,"chase stokes, madelyn cline, madison bailey, jonathan daviss, rudy pankow, charles esten, adina porter, austin north, drew starkey",2021,2.0,seasons,3.5625
ns372,movie,pomegranates and myrrh,"yasmine al massri, ashraf farah, ali suliman, hiam abbass, samia kuzmoz bakri, yosef abu wardeh, wardeh dukwar, manal awad, valentina abu-'aksa, walid abdul salam, ahmad abu sal'oum, wardeh jubran",2009,95.0,min,3.5918580375782883
ns373,movie,rurouni kenshin: the beginning,"takeru satoh, kasumi arimura, issey takahashi, nijiro murakami, masanobu ando, kazuki kitamura, yosuke eguchi",2021,138.0,min,3.5055309734513274
ns374,movie,the last mercenary,"jean-claude van damme, alban ivanov, éric judor, patrick timsit, miou-miou, assa sylla, samir decazza, valérie kaprisky, djimo, nassim lyes",2021,112.0,min,3.4398797595190382
ns375,movie,flower girl,"damilola adegbite, chris attoh, chuks chukwujekwu, blossom chukwujekwu, eku edewor, bikiya graham douglas",2013,94.0,min,3.5297131147540983
ns376,movie,resort to love,"christina milian, jay pharoah, sinqua walls, tymberlee hill, jeryl prescott gallien, christiani pitts, karen obilom, alexander hodge, t.j. power, sylvaine strike, kayne lee harrison",2021,102.0,min,3.522875816993464
ns377,tv show,transformers: war for cybertron: kingdom,"jake foushee, jason marnocha, linsay rousseau, joe zieja, frank todaro, bill rogers, keith silverstein, edward bosco, tessho genda, ryohei kimura, kikuko inoue, kazuhiko inoue, chafurin",2021,1.0,seasons,3.550935550935551
ns378,movie,bartkowiak,"józef pawłowski, zofia domalik, szymon bobrowski, bartłomiej topa, janusz chabior, rafał zawierucha, antoni pawlicki, cezary łukaszewicz, danuta stenka, jan frycz, damian majewski",2021,92.0,min,3.573093220338983
ns379,movie,fantastic fungi,,2019,81.0,min,3.54320987654321
ns380,tv show,tattoo redo,,2021,1.0,seasons,3.4953445065176907
ns381,tv show,the flash,"grant gustin, candice patton, danielle panabaker, carlos valdes, tom cavanagh, jesse l. martin, neil sandilands, britne oldford, danielle nicolet, keiynan lonsdale, kim engelbrecht",2021,7.0,seasons,3.5037735849056606
ns382,tv show,the snitch cartel: origins,"juan pablo urrego, sebastián osorio, patricia tamayo, verónica velásquez, maría camila zárate, nicole santamaría, eduardo pérez, julian farrieta, gustavo angarita jr., carlos manuel vesga, helena mallarino, david prada, margarita reyes, adriana silva, laura rodríguez, angélica blandón, maia landaburu, jesús de los ríos",2021,1.0,seasons,3.5692148760330578
ns383,tv show,all american,"daniel ezra, taye diggs, samantha logan, bre-z, greta onieogou, monet mazur, michael evans behling, cody christian, karimah westbrook, jalyn hall, jordan belfi, briana lane",2021,3.0,seasons,3.4668141592920354
ns384,movie,department,"amitabh bachchan, sanjay dutt, rana daggubati, vijay raaz, abhimanyu singh, madhu shalini, deepak tijori, anjana sukhani, manchu lakshmi",2012,143.0,min,3.4636929460580914
ns385,movie,hostage house,"jennifer taylor, justin schilling, emily sweet, julia terranova, patrick cronen, richard neil",2021,86.0,min,3.4688796680497926
ns386,tv show,how to sell drugs online (fast),"maximilian mundt, danilo kamperidis, lena klenke, damian hardung, leonie wesselow, luna schaller, bjarne mädel, roland riebeling",2021,3.0,seasons,3.5233009708737866
ns387,tv show,mighty express,"jay hatton, zoe hatz, meesha contreras, dylan shombing, tyler nathan, leo orgil, michela luci, ian ho, evan lefeuvre, annick obonsawin",2021,4.0,seasons,3.6142857142857143
ns388,movie,mimi,"kriti sanon, pankaj tripathi, sai tamhankar, manoj pahwa, supriya pathak, evelyn edwards",2021,132.0,min,3.5519911504424777
